Spectra of the velocity (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 3 
-------------------- 
f 	 Re 	 Im 	 Abs 
  1.8976115e+00  9.3897968e-07 -1.3976230e-06  1.6837556e-06
  1.9058620e+00 -2.5718168e-07 -2.4364197e-06  2.4499558e-06
  1.9141125e+00 -1.5715242e-06 -1.9515811e-06  2.5056650e-06
  1.9223629e+00 -2.3829931e-06 -6.7967626e-07  2.4780266e-06
  1.9306134e+00 -1.0971090e-06 -7.2628854e-08  1.0995104e-06
  1.9388639e+00  8.4024679e-08  4.0440792e-07  4.1304468e-07
  1.9471144e+00  6.4344274e-07 -1.0623389e-06  1.2420075e-06
  1.9553649e+00 -5.1506731e-07 -1.7226157e-06  1.7979708e-06
  1.9636154e+00 -2.7053735e-06 -2.6182451e-06  3.7648710e-06
  1.9718658e+00 -4.2347605e-06 -4.3197113e-07  4.2567353e-06
  1.9801163e+00 -3.7343596e-06  1.0480569e-06  3.8786421e-06
  1.9883668e+00 -1.9321599e-06  2.1932848e-06  2.9229677e-06
  1.9966173e+00 -8.9128415e-07  1.7878479e-06  1.9976955e-06
  2.0048678e+00 -8.0354713e-07  7.5930824e-07  1.1055483e-06
  2.0131183e+00 -2.3946354e-06  4.2465072e-07  2.4319964e-06
  2.0213688e+00 -3.7994406e-06  1.4821961e-06  4.0783151e-06
  2.0296192e+00 -3.8595430e-06  4.5543684e-06  5.9697859e-06
  2.0378697e+00 -1.8733784e-06  6.9773884e-06  7.2245066e-06
  2.0461202e+00  2.5835798e-06  7.7298746e-06  8.1502053e-06
  2.0543707e+00  5.7296812e-06  5.4343203e-06  7.8969034e-06
  2.0626212e+00  7.0299916e-06  2.1094747e-06  7.3396639e-06
  2.0708717e+00  5.2401772e-06 -5.1490598e-07  5.2654140e-06
  2.0791221e+00  3.1138524e-06 -1.9281679e-06  3.6625003e-06
  2.0873726e+00  1.8481156e-06 -5.0894752e-07  1.9169139e-06
  2.0956231e+00  2.7647459e-06 -5.6109498e-07  2.8211075e-06
  2.1038736e+00  3.8845751e-06 -8.2447697e-07  3.9711064e-06
  2.1121241e+00  3.8801109e-06 -3.2330160e-06  5.0505102e-06
  2.1203746e+00  2.1158834e-06 -4.4792108e-06  4.9538159e-06
  2.1286251e+00 -2.5323550e-07 -4.5930251e-06  4.6000008e-06
  2.1368755e+00 -6.0048585e-07 -3.4361397e-06  3.4882143e-06
  2.1451260e+00 -4.5817124e-07 -2.9922401e-06  3.0271145e-06
  2.1533765e+00 -3.8946228e-07 -3.9841890e-06  4.0031791e-06
  2.1616270e+00 -1.8573903e-06 -4.8329734e-06  5.1775989e-06
  2.1698775e+00 -4.3614659e-06 -4.9401147e-06  6.5899255e-06
  2.1781280e+00 -6.6638593e-06 -2.4768685e-06  7.1092825e-06
  2.1863784e+00 -7.7813056e-06  7.9062320e-07  7.8213683e-06
  2.1946289e+00 -6.4981970e-06  3.8068022e-06  7.5311558e-06
  2.2028794e+00 -4.1272805e-06  5.6823155e-06  7.0230445e-06
  2.2111299e+00 -1.1551215e-06  4.9426932e-06  5.0758765e-06
  2.2193804e+00 -1.6986151e-07  4.0918228e-06  4.0953470e-06
  2.2276309e+00 -8.8510705e-08  2.9935367e-06  2.9948449e-06
  2.2358814e+00 -5.3074127e-07  4.0286559e-06  4.0634658e-06
  2.2441318e+00 -2.3271325e-07  4.5294327e-06  4.5354069e-06
  2.2523823e+00  1.6683924e-06  5.2642291e-06  5.5222858e-06
  2.2606328e+00  3.3638174e-06  4.6890187e-06  5.7708028e-06
  2.2688833e+00  5.6610586e-06  3.7575083e-06  6.7945899e-06
  2.2771338e+00  6.4789140e-06  1.3938179e-06  6.6271453e-06
  2.2853843e+00  6.7426111e-06 -8.6033349e-07  6.7972773e-06
  2.2936348e+00  4.8805175e-06 -2.1475094e-06  5.3320959e-06
  2.3018852e+00  3.6966687e-06 -2.5105561e-06  4.4685850e-06
  2.3101357e+00  2.4403457e-06 -2.2344723e-06  3.3087994e-06
  2.3183862e+00  3.3740602e-06 -1.4960912e-06  3.6908767e-06
  2.3266367e+00  4.4182498e-06 -2.2315664e-06  4.9498303e-06
  2.3348872e+00  5.5824044e-06 -4.1669181e-06  6.9660926e-06
  2.3431377e+00  4.3499224e-06 -7.0456643e-06  8.2802905e-06
  2.3513881e+00  1.4303164e-06 -8.0483175e-06  8.1744247e-06
  2.3596386e+00 -1.1038016e-06 -8.2658846e-06  8.3392582e-06
  2.3678891e+00 -2.4320276e-06 -8.6414058e-06  8.9771183e-06
  2.3761396e+00 -5.1417888e-06 -9.1022840e-06  1.0454165e-05
  2.3843901e+00 -8.5524134e-06 -7.9723549e-06  1.1691972e-05
  2.3926406e+00 -1.2081504e-05 -3.9959296e-06  1.2725179e-05
  2.4008911e+00 -1.2917388e-05  5.7924267e-07  1.2930369e-05
  2.4091415e+00 -1.1595885e-05  5.9419910e-06  1.3029651e-05
  2.4173920e+00 -7.5880946e-06  8.8357817e-06  1.1646897e-05
  2.4256425e+00 -3.2606490e-06  9.7419107e-06  1.0273104e-05
  2.4338930e+00  5.0109571e-07  8.0713352e-06  8.0868751e-06
  2.4421435e+00  1.8921494e-06  5.7854690e-06  6.0870256e-06
  2.4503940e+00  2.3643125e-06  4.6806183e-06  5.2438690e-06
  2.4586444e+00  2.3539311e-06  2.5027734e-06  3.4358210e-06
  2.4668949e+00  1.4194417e-06  1.6639288e-06  2.1871154e-06
  2.4751454e+00 -5.5553648e-07  1.5152202e-06  1.6138504e-06
  2.4833959e+00 -6.8291994e-07  3.1708628e-06  3.2435706e-06
  2.4916464e+00  3.5861315e-07  4.4536273e-06  4.4680420e-06
  2.4998969e+00  3.1673218e-06  5.0575094e-06  5.9674390e-06
  2.5081474e+00  4.3659152e-06  4.3964064e-06  6.1959345e-06
  2.5163978e+00  6.4887099e-06  2.0714731e-06  6.8113403e-06
  2.5246483e+00  6.2062351e-06  1.8539718e-07  6.2090037e-06
  2.5328988e+00  6.1140138e-06 -1.8460950e-06  6.3866448e-06
  2.5411493e+00  4.7217931e-06 -2.3478321e-06  5.2732955e-06
  2.5493998e+00  4.9054812e-06 -3.4359588e-06  5.9891200e-06
  2.5576503e+00  3.9123887e-06 -4.3614758e-06  5.8591174e-06
  2.5659007e+00  2.6570333e-06 -5.2727849e-06  5.9044125e-06
  2.5741512e+00  1.7904023e-06 -4.9542451e-06  5.2678349e-06
  2.5824017e+00  6.3382775e-07 -4.7816507e-06  4.8234760e-06
  2.5906522e+00 -3.4870731e-07 -4.8935960e-06  4.9060044e-06
  2.5989027e+00 -1.3649407e-06 -5.1688025e-06  5.3459875e-06
  2.6071532e+00 -2.6983561e-06 -5.3752289e-06  6.0145000e-06
  2.6154037e+00 -4.0906470e-06 -4.4817381e-06  6.0678966e-06
  2.6236541e+00 -5.8746038e-06 -2.7305224e-06  6.4781728e-06
  2.6319046e+00 -6.1957795e-06 -4.9656942e-07  6.2156468e-06
  2.6401551e+00 -5.6514820e-06  1.5304970e-06  5.8550551e-06
  2.6484056e+00 -4.1388582e-06  1.7632982e-06  4.4988185e-06
  2.6566561e+00 -3.7013467e-06  2.5669604e-06  4.5043593e-06
  2.6649066e+00 -2.8627337e-06  2.5117038e-06  3.8083987e-06
  2.6731570e+00 -3.2702389e-06  3.4585442e-06  4.7598309e-06
  2.6814075e+00 -2.4775824e-06  4.3687489e-06  5.0223881e-06
  2.6896580e+00 -1.8847840e-06  5.4325165e-06  5.7501866e-06
  2.6979085e+00 -3.1113463e-07  5.8004722e-06  5.8088107e-06
  2.7061590e+00  9.4994707e-07  5.7181194e-06  5.7964893e-06
  2.7144095e+00  1.9062932e-06  4.7493973e-06  5.1176878e-06
  2.7226600e+00  2.8917195e-06  4.0295295e-06  4.9597530e-06
  2.7309104e+00  3.2569884e-06  3.8533153e-06  5.0453952e-06
  2.7391609e+00  4.1641996e-06  3.8600504e-06  5.6780760e-06
  2.7474114e+00  5.3124741e-06  3.4900030e-06  6.3562963e-06
  2.7556619e+00  7.2347743e-06  1.5263444e-06  7.3940304e-06
  2.7639124e+00  7.6629216e-06 -1.2619278e-06  7.7661335e-06
  2.7721629e+00  6.7044077e-06 -3.6192286e-06  7.6189171e-06
  2.7804133e+00  6.0516245e-06 -5.4789721e-06  8.1634119e-06
  2.7886638e+00  4.1029758e-06 -6.1237694e-06  7.3712253e-06
  2.7969143e+00  2.8903662e-06 -6.5982643e-06  7.2035622e-06
  2.8051648e+00  1.0482182e-06 -6.9723438e-06  7.0506978e-06
  2.8134153e+00 -2.2573689e-08 -8.0478535e-06  8.0478852e-06
  2.8216658e+00 -1.9455132e-06 -8.5792692e-06  8.7970951e-06
  2.8299163e+00 -4.9071922e-06 -8.7174462e-06  1.0003719e-05
  2.8381667e+00 -7.1774318e-06 -6.2979362e-06  9.5487972e-06
  2.8464172e+00 -8.1866495e-06 -4.2328314e-06  9.2161864e-06
  2.8546677e+00 -9.0073560e-06 -1.5969574e-06  9.1478268e-06
  2.8629182e+00 -8.9239236e-06  7.2838697e-08  8.9242209e-06
  2.8711687e+00 -8.0670636e-06  1.9755816e-06  8.3054463e-06
  2.8794192e+00 -7.1933867e-06  3.6781474e-06  8.0792067e-06
  2.8876697e+00 -5.9055031e-06  4.6539734e-06  7.5189384e-06
  2.8959201e+00 -4.8565504e-06  5.2792265e-06  7.1733057e-06
