Spectra of the acceleration (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 1 
-------------------- 
f 	 Re 	 Im 	 Abs 
  2.1605316e+00  1.2364273e-04  3.0951261e-04  3.3329504e-04
  2.1686845e+00  2.1084217e-04  3.2310504e-04  3.8581250e-04
  2.1768375e+00  3.2470511e-04  2.5784061e-04  4.1462656e-04
  2.1849904e+00  3.8910898e-04  1.7548141e-04  4.2684837e-04
  2.1931434e+00  4.3919558e-04  9.1227123e-05  4.4857011e-04
  2.2012963e+00  4.5016917e-04 -5.4808787e-05  4.5349342e-04
  2.2094493e+00  4.5554350e-04 -1.6984117e-04  4.8617477e-04
  2.2176022e+00  3.9360450e-04 -2.6540492e-04  4.7472547e-04
  2.2257552e+00  3.5539403e-04 -3.7476261e-04  5.1648033e-04
  2.2339081e+00  2.2231022e-04 -4.5897777e-04  5.0998277e-04
  2.2420611e+00  3.3669998e-05 -4.6705601e-04  4.6826807e-04
  2.2502140e+00 -8.5280962e-05 -3.6958027e-04  3.7929200e-04
  2.2583670e+00 -8.8267601e-05 -2.6881563e-04  2.8293641e-04
  2.2665199e+00 -7.2724187e-05 -3.0132613e-04  3.0997781e-04
  2.2746729e+00 -1.1083270e-04 -3.1227885e-04  3.3136380e-04
  2.2828258e+00 -2.0059245e-04 -3.2348141e-04  3.8062784e-04
  2.2909788e+00 -3.1319237e-04 -2.9548625e-04  4.3058284e-04
  2.2991317e+00 -4.1074664e-04 -2.0309093e-04  4.5821254e-04
  2.3072847e+00 -4.3191530e-04 -5.1057778e-05  4.3492266e-04
  2.3154376e+00 -3.1361270e-04  1.7894650e-05  3.1412282e-04
  2.3235906e+00 -2.9052064e-04  1.5332069e-05  2.9092493e-04
  2.3317435e+00 -3.2528082e-04 -3.2009827e-05  3.2685202e-04
  2.3398965e+00 -4.0323016e-04  5.8034836e-05  4.0738508e-04
  2.3480494e+00 -3.7739446e-04  2.0629620e-04  4.3009848e-04
  2.3562024e+00 -3.2942442e-04  2.6709033e-04  4.2409633e-04
  2.3643553e+00 -3.0280469e-04  2.9445904e-04  4.2237046e-04
  2.3725083e+00 -3.0424293e-04  4.4024750e-04  5.3514636e-04
  2.3806612e+00 -1.1112793e-04  5.3641980e-04  5.4780984e-04
  2.3888142e+00  3.8234313e-05  5.7025628e-04  5.7153661e-04
  2.3969671e+00  1.5023761e-04  5.5195784e-04  5.7203916e-04
  2.4051201e+00  3.6144898e-04  4.7773899e-04  5.9906586e-04
  2.4132730e+00  4.6883467e-04  2.4498610e-04  5.2898406e-04
  2.4214260e+00  3.9734602e-04  1.1100395e-04  4.1255997e-04
  2.4295789e+00  3.3925803e-04  8.0333094e-05  3.4863938e-04
  2.4377318e+00  3.5224966e-04  2.6140104e-05  3.5321824e-04
  2.4458848e+00  3.3254493e-04 -5.4532765e-05  3.3698658e-04
  2.4540377e+00  1.9366250e-04 -9.0565584e-05  2.1379263e-04
  2.4621907e+00  1.7422148e-04  2.2894912e-05  1.7571938e-04
  2.4703436e+00  2.8064835e-04  5.1571194e-05  2.8534731e-04
  2.4784966e+00  3.4161900e-04 -6.4067876e-05  3.4757479e-04
  2.4866495e+00  4.4195435e-04 -6.4604044e-05  4.4665124e-04
  2.4948025e+00  4.8599705e-04 -2.6341445e-04  5.5279318e-04
  2.5029554e+00  4.2956927e-04 -4.7910663e-04  6.4348498e-04
  2.5111084e+00  3.3696152e-04 -5.7725700e-04  6.6840759e-04
  2.5192613e+00  1.8715579e-04 -7.2135148e-04  7.4523503e-04
  2.5274143e+00 -5.7000289e-05 -7.7444511e-04  7.7653993e-04
  2.5355672e+00 -2.2506136e-04 -6.6163115e-04  6.9886221e-04
  2.5437202e+00 -3.6975310e-04 -6.7191767e-04  7.6693593e-04
  2.5518731e+00 -5.7661440e-04 -5.1115305e-04  7.7055928e-04
  2.5600261e+00 -7.4968549e-04 -2.1760744e-04  7.8062880e-04
  2.5681790e+00 -7.2688153e-04 -8.3207599e-06  7.2692916e-04
  2.5763320e+00 -5.6494644e-04  1.0070684e-04  5.7385220e-04
  2.5844849e+00 -6.8509060e-04  1.7331260e-04  7.0667276e-04
  2.5926379e+00 -6.8175366e-04  3.5799487e-04  7.7003142e-04
  2.6007908e+00 -5.5015920e-04  6.1729784e-04  8.2688075e-04
  2.6089438e+00 -3.9046258e-04  6.4708800e-04  7.5576709e-04
  2.6170967e+00 -1.9363329e-04  7.4530055e-04  7.7004335e-04
  2.6252497e+00  5.7262632e-05  7.4012451e-04  7.4233638e-04
  2.6334026e+00  1.1174859e-04  5.4568662e-04  5.5701134e-04
  2.6415556e+00  1.6391037e-04  4.7508307e-04  5.0256396e-04
  2.6497085e+00  2.0529610e-04  6.0240854e-04  6.3642952e-04
  2.6578615e+00  3.7370313e-04  5.4747244e-04  6.6285753e-04
  2.6660144e+00  5.5245531e-04  4.4788740e-04  7.1120320e-04
  2.6741674e+00  6.6234254e-04  2.9719438e-04  7.2596290e-04
  2.6823203e+00  7.3565323e-04  7.6935137e-05  7.3966525e-04
  2.6904733e+00  7.1836552e-04 -1.6559711e-04  7.3720514e-04
  2.6986262e+00  5.2912437e-04 -3.1460949e-04  6.1559055e-04
  2.7067792e+00  4.1600021e-04 -3.8074763e-04  5.6393700e-04
  2.7149321e+00  3.6102086e-04 -4.0061845e-04  5.3928768e-04
  2.7230851e+00  2.6744657e-04 -3.9786397e-04  4.7939901e-04
  2.7312380e+00  1.5481780e-04 -4.4747877e-04  4.7350375e-04
  2.7393910e+00  1.4316588e-04 -4.1957446e-04  4.4332741e-04
  2.7475439e+00  1.0281872e-04 -3.7911097e-04  3.9280634e-04
  2.7556969e+00  1.1992826e-04 -4.3405633e-04  4.5031954e-04
  2.7638498e+00  7.0359902e-05 -4.8026571e-04  4.8539228e-04
  2.7720028e+00 -8.0146865e-05 -5.9833650e-04  6.0368045e-04
  2.7801557e+00 -1.8230098e-04 -6.0543828e-04  6.3228882e-04
  2.7883087e+00 -3.0423338e-04 -6.6701674e-04  7.3312297e-04
  2.7964616e+00 -6.1776799e-04 -6.3847721e-04  8.8842019e-04
  2.8046146e+00 -8.2340003e-04 -4.7536963e-04  9.5077016e-04
  2.8127675e+00 -9.7330998e-04 -1.7499747e-04  9.8891679e-04
  2.8209205e+00 -9.8999308e-04  1.0740818e-04  9.9580260e-04
  2.8290734e+00 -8.8111889e-04  4.3040827e-04  9.8062316e-04
  2.8372264e+00 -6.9098523e-04  5.9826250e-04  9.1399048e-04
  2.8453793e+00 -4.5233248e-04  6.9717441e-04  8.3105765e-04
  2.8535323e+00 -2.4511101e-04  6.5864348e-04  7.0277353e-04
  2.8616852e+00 -2.0191724e-04  6.4573942e-04  6.7657222e-04
  2.8698382e+00 -1.3705382e-04  6.6873374e-04  6.8263355e-04
